id,lat,lng,cor
547886577,-25.5268784350474,-54.4810900796237,preto
606289131,-25.5052383252626,-54.4731697661277,preto
792988653,-25.5272439450411,-54.4808918765248,preto
789152790,-25.5278978219158,-54.4826007649228,preto
818812099,-25.5416771105762,-54.4633531025243,preto
818811599,-25.5418569045108,-54.4645215391124,preto
620319354,-25.5516216053825,-54.4776094129451,preto
615543261,-25.5516276491235,-54.4788723679938,preto
623990791,-25.5237701689415,-54.4057861285909,preto
623990790,-25.5244860003944,-54.406810438105,preto
623990789,-25.5252221652023,-54.4077359204405,preto
789879003,-25.5263760198763,-54.4069931124756,preto
789878815,-25.5275025976276,-54.4062594617515,preto
789878812,-25.5282269901912,-54.4057530310956,preto
789878803,-25.5289227201483,-54.4053153768535,preto
789878801,-25.5282741438543,-54.404501710076,preto
602629174,-25.5436706,-54.4838622,preto
619823658,-25.4930654,-54.5426734,preto
619094298,-25.5302293,-54.5707459,preto
619758979,-25.5245734,-54.5726259,preto
570928357,-25.5493025,-54.5467637,preto
576977387,-25.577134,-54.5639237,preto
618838328,-25.5134755,-54.5945312,preto
619759121,-25.5239659,-54.572757,preto
619413253,-25.5236239,-54.572727,preto
619413249,-25.5233087,-54.5727077,preto
577011422,-25.5231557,-54.5726933,preto
619413245,-25.5229847,-54.5726782,preto
619413240,-25.5226605,-54.5726587,preto
619413256,-25.5223904,-54.5726407,preto
619164241,-25.5215395,-54.575349,preto
619164235,-25.5218457,-54.5753681,preto
619164240,-25.5221156,-54.5753959,preto
576532350,-25.5654465,-54.54717,preto
576532373,-25.5657435,-54.5471987,preto
576532352,-25.5660404,-54.5472273,preto
576532380,-25.5663379,-54.5472494,preto
576532371,-25.5666703,-54.5472857,preto
619413276,-25.5220759,-54.5725917,preto
619094288,-25.5328965,-54.5738072,preto
619094285,-25.5332214,-54.573797,preto
806276547,-25.5334019,-54.5737924,preto
618980073,-25.5335824,-54.5737878,preto
618979958,-25.5339434,-54.5737787,preto
618979893,-25.5342771,-54.5737786,preto
618980068,-25.5346742,-54.5737705,preto
619985050,-25.5349991,-54.5737603,preto
619984790,-25.5353871,-54.5737519,preto
619984288,-25.5356485,-54.5737597,preto
619091323,-25.5428853,-54.5736265,preto
618871928,-25.5430657,-54.5736219,preto
798097876,-25.5433544,-54.5736205,preto
618872525,-25.5435529,-54.5736165,preto
618872563,-25.5438774,-54.5736261,preto
794561523,-25.544112,-54.5736231,preto
618871980,-25.5442201,-54.5736263,preto
618872273,-25.5445541,-54.5736164,preto
620066876,-25.5448427,-54.573615,preto
620067306,-25.5451499,-54.5735943,preto
620066947,-25.5454566,-54.5735935,preto
619280372,-25.5457364,-54.5735819,preto
619279620,-25.545944,-54.5735781,preto
619280487,-25.5462507,-54.5735773,preto
619281058,-25.5466119,-54.5735582,preto
619281053,-25.5469463,-54.5735283,preto
619281048,-25.5472623,-54.5735178,preto
54781636,-25.536221142587,-54.4788944901918,vermelho
549420643,-25.5291622047215,-54.4248178313997,vermelho
54942074,-25.5322153547697,-54.420391001146,vermelho
550290571,-25.5519079352441,-54.4655466168111,vermelho
550965052,-25.5338992527779,-54.4862538405835,vermelho
550999863,-25.5271842591496,-54.4818842625894,vermelho
552890871,-25.5240445091107,-54.4781253611296,vermelho
552890946,-25.5245300703057,-54.4781890806803,vermelho
553374005,-25.5239362739337,-54.4796431874108,vermelho
553374216,-25.5238666033405,-54.4802972709712,vermelho
553374248,-25.5238395995246,-54.4806742427215,vermelho
566070575,-25.5293862182933,-54.4244961244656,vermelho
566070580,-25.5295922027943,-54.4241739039006,vermelho
583916731,-25.5241283301331,-54.4768752300181,vermelho
591873754,-25.5365925445536,-54.4761711931562,vermelho
59241749,-25.5277303441718,-54.48243686566,vermelho
600843859,-25.4457500227564,-54.4861622504671,vermelho
602629157,-25.5433366344991,-54.4838724356558,vermelho
615542870,-25.5436706129178,-54.4838622148596,vermelho
603288549,-25.5221946690146,-54.4180388070365,vermelho
603288553,-25.5215583960389,-54.4174740038011,vermelho
603288717,-25.5210208139566,-54.4169318866968,vermelho
603288721,-25.5204379258628,-54.4163984313309,vermelho
603288729,-25.5198742229394,-54.4158158203639,vermelho
603288733,-25.5193350107148,-54.4153432586907,vermelho
603288757,-25.5187796216315,-54.4147907163467,vermelho
603288761,-25.5182413318608,-54.4142784267896,vermelho
603288765,-25.5176145177625,-54.4136940496729,vermelho
60328876,-25.5170584259481,-54.413171325528,vermelho
603288773,-25.5165113460991,-54.4126488614882,vermelho
603288797,-25.5159203496003,-54.4120754561922,vermelho
603288801,-25.5153825105998,-54.4115433232867,vermelho
603288805,-25.5147732483836,-54.4109793528578,vermelho
603290928,-25.5120028737045,-54.4083164937166,vermelho
603290932,-25.5125499733393,-54.4088389178682,vermelho
603290955,-25.5131231885453,-54.4094018470476,vermelho
60329096,-25.5142351729092,-54.410457164018,vermelho
603291259,-25.5226975807394,-54.4185203043163,vermelho
603291263,-25.5229268481354,-54.4187455133225,vermelho
60329126,-25.5236678051048,-54.419462418754,vermelho
603291271,-25.5234295248212,-54.4192369511977,vermelho
603291424,-25.5232182869815,-54.4190122517668,vermelho
603291449,-25.5231563471349,-54.4189607885986,vermelho
603645003,-25.5167305715373,-54.4036189519197,vermelho
606288413,-25.5075205998269,-54.4811373987622,vermelho
606288470,-25.5075504326745,-54.4806412859172,vermelho
606288510,-25.5075323187259,-54.4798853623802,vermelho
606288537,-25.5075934365971,-54.4792112405009,vermelho
606288547,-25.5074814025972,-54.4786116389556,vermelho
60628912,-25.505897087697,-54.4765780670344,vermelho
606289136,-25.5053880877317,-54.4737008645494,vermelho
606289200,-25.5055039643666,-54.4760399495747,vermelho
606289272,-25.5054346904554,-54.4743979613721,vermelho
606289299,-25.5054336281654,-54.4752030177775,vermelho
60628931,-25.507079982239,-54.4780434501335,vermelho
60628953,-25.5066942280507,-54.477575111124,vermelho
606289543,-25.5063355133243,-54.4771075547294,vermelho
615542836,-25.5403023276518,-54.4802352807168,vermelho
615542837,-25.5394559178756,-54.4794154478688,vermelho
615542998,-25.5509438860681,-54.4639776643265,vermelho
62031929,-25.543066224883,-54.4838646111166,vermelho
620325044,-25.5168787288894,-54.4771531721733,vermelho
620417778,-25.5351087256815,-54.4752236633429,vermelho
62050534,-25.5454129715046,-54.426900686262, vermelho
62399079,-25.5244860003944,-54.406810438105,vermelho
624340915,-25.5282045211825,-54.4860095101248,vermelho
625712047,-25.5333198125704,-54.4171315505013,vermelho
62571204,-25.532800263822,-54.4165898865442,vermelho
784434866,-25.5239440669977,-54.4793153644503,vermelho
78445715,-25.5238741616615,-54.479979382447,vermelho
78470877,-25.5347285078167,-54.486277842765,vermelho
784735864,-25.5349726458418,-54.4779139599272,vermelho
784736026,-25.5355271803693,-54.4754544577122,vermelho
789123346,-25.5195604236539,-54.4686717384083,vermelho
789123574,-25.5196393967697,-54.4699066405072,vermelho
789146630,-25.5078941765859,-54.4809792111932,vermelho
789146636,-25.5087430779438,-54.4805564349877,vermelho
789146758,-25.5096083535459,-54.4802037036129,vermelho
789146760,-25.5106109592841,-54.4797654735399,vermelho
789146764,-25.5115139411856,-54.4793442418753,vermelho
789147760,-25.5119292811639,-54.4793264079349,vermelho
789147762,-25.5125160735739,-54.4789258655817,vermelho
789147764,-25.5130900754997,-54.4786839898057,vermelho
789147766,-25.5137186316727,-54.4784238060293,vermelho
789147768,-25.5145578074451,-54.4780305353875,vermelho
78915094,-25.515704865814,-54.4775865006572,vermelho
789150953,-25.5174342300488,-54.4769306284866,vermelho
789150955,-25.5180355075596,-54.4766795822542,vermelho
789151138,-25.5191187600879,-54.4762635067274,vermelho
789151142,-25.5200519443167,-54.4764693514787,vermelho
789151146,-25.5211651668886,-54.4766903345793,vermelho
789152794,-25.5265409111819,-54.4812493260187,vermelho
789233344,-25.5385305418997,-54.4788816657138,vermelho
789233351,-25.5419967848238,-54.4818054331282,vermelho
789233353,-25.5424187993382,-54.4822650430625,vermelho
789235353,-25.5368594159395,-54.4763280250848,vermelho
789243028,-25.5486631765287,-54.4681079698553,vermelho
789243036,-25.5489683519739,-54.4689320882906,vermelho
789243038,-25.5493961794978,-54.4699088915324,vermelho
789243040,-25.5498299481467,-54.4710151323056,vermelho
789243042,-25.5503344023254,-54.4721830780722,vermelho
789243130,-25.5507674440487,-54.4733191428586,vermelho
789243134,-25.5510918391507,-54.4744719650735,vermelho
789243139,-25.5516122822044,-54.4768634066823,vermelho
789243323,-25.5499966691012,-54.4601720163571,vermelho
789362927,-25.5463078073018,-54.4275923420686,vermelho
789362930,-25.5443653552698,-54.4261848077851,vermelho
789362932,-25.5430441096988,-54.4252125882337,vermelho
789363196,-25.5423397188771,-54.4260177971751,vermelho
789363198,-25.5416803955302,-54.4268242793135,vermelho
789363414,-25.5413187257618,-54.4264759369512,vermelho
789363416,-25.5398909949154,-54.4250433578938,vermelho
789363424,-25.5388076471099,-54.4235410643828,vermelho
789363426,-25.5384485245498,-54.4230834463496,vermelho
78936352,-25.537758711289,-54.4221093721579,vermelho
789363526,-25.5366198483779,-54.4206652084388,vermelho
789363529,-25.5362688002885,-54.4202476056599,vermelho
789363573,-25.5359253717354,-54.4198898750981,vermelho
789363575,-25.5355391925427,-54.4194315108532,vermelho
789363577,-25.5351077080351,-54.4189818057485,vermelho
789363646,-25.5343334842399,-54.4181445764251,vermelho
789363648,-25.5345300490581,-54.4170664617676,vermelho
789363651,-25.5350506255077,-54.4164051615368,vermelho
789363858,-25.5361323747116,-54.4160480961466,vermelho
789363860,-25.5370821560002,-54.4155480897368,vermelho
789363862,-25.5380592111371,-54.4150389071183,vermelho
78936399,-25.5390089904032,-54.414538886187,vermelho
789363996,-25.5400565626877,-54.4137135242037,vermelho
789364004,-25.5399944161662,-54.4132842300583,vermelho
78936400,-25.5397612750424,-54.412064624624,vermelho
547816651,-25.5575484344144,-54.567807742624,vermelho
547816662,-25.5573436064046,-54.5680701303059,vermelho
547816687,-25.5571565611731,-54.5683429874908,vermelho
547816725,-25.5569953415096,-54.5686663247398,vermelho
547816923,-25.556852389347,-54.5689802599663,vermelho
551662867,-25.5812342360169,-54.5581478325366,vermelho
551662889,-25.5809772773599,-54.5583291813472,vermelho
553052389,-25.5764304345361,-54.5820019414035,vermelho
555099089,-25.5521636162776,-54.5792609882532,vermelho
555100405,-25.5520574243514,-54.5795461625309,vermelho
555104919,-25.5519410031879,-54.5798807444355,vermelho
555106113,-25.551815568622,-54.580215057481,vermelho
556316492,-25.4710295144012,-54.5576271726601,vermelho
557087173,-25.5658258099473,-54.5056450966951,vermelho
565283446,-25.4796792459854,-54.5661592120463,vermelho
568630281,-25.5775771930092,-54.4823081923277,vermelho
568810270,-25.5776101377645,-54.481682593622,vermelho
568814769,-25.5776696473416,-54.4810776541503,vermelho
568814787,-25.5777203775111,-54.4804625143443,vermelho
568814818,-25.5777706318568,-54.47986725062,vermelho
573855866,-25.5687738773754,-54.5011864355506,vermelho
573855867,-25.5694342082169,-54.5014841058095,vermelho
573855870,-25.5680457647059,-54.5029651667225,vermelho
573855924,-25.568410894784,-54.5020310855609,vermelho
576633502,-25.5879600415671,-54.5385749333258,vermelho
576633503,-25.5893792913804,-54.538815650311,vermelho
576633510,-25.5883131015578,-54.5388936509021,vermelho
576633511,-25.5905625453461,-54.5383730963053,vermelho
576633512,-25.5881189066389,-54.538718852932,vermelho
576633513,-25.5903384222827,-54.5383167655651,vermelho
576754915,-25.4706967043796,-54.5538715260938,vermelho
576754917,-25.4708225400274,-54.553517534322,vermelho
576755101,-25.4705718309523,-54.5541858016658,vermelho
576767751,-25.5605232084139,-54.5737823775282,vermelho
577075974,-25.5114567917948,-54.5616220866521,vermelho
577085976,-25.566675467268,-54.573368551597,vermelho
578905904,-25.5818854908598,-54.5476849096901,vermelho
578905914,-25.5820737126865,-54.5473622735906,vermelho
578905929,-25.5822166276958,-54.5470482445067,vermelho
578907221,-25.5823764490646,-54.5471524138912,vermelho
578907673,-25.5824047805803,-54.5474714979601,vermelho
578908130,-25.5823590596561,-54.5467540908637,vermelho
578908485,-25.5823051347531,-54.546374580242,vermelho
578908497,-25.5823040809656,-54.5460463560597,vermelho
578917240,-25.5822874119405,-54.545618218645,vermelho
578917575,-25.5822402351456,-54.5449604406091,vermelho
578917589,-25.5822131034223,-54.5445916661777,vermelho
578917599,-25.5821859707488,-54.5442228917936,vermelho
578917609,-25.5821515112726,-54.5437842847001,vermelho
578917717,-25.58301645733,-54.5475392798658,vermelho
578917743,-25.5829983454351,-54.5471707693079,vermelho
578917885,-25.5829802325971,-54.5468022587414,vermelho
578917911,-25.5829436104015,-54.5464530925856,vermelho
578917930,-25.582925013349,-54.5461044584248,vermelho
578918183,-25.5829115697657,-54.5459151011068,vermelho
578918232,-25.5828763922808,-54.5455063060534,vermelho
578918250,-25.582867288181,-54.5451380614442,vermelho
578918489,-25.5828396749259,-54.5447891614606,vermelho
578918576,-25.5828127840333,-54.544410446962,vermelho
578918588,-25.582775914935,-54.5440712194828,vermelho
578918605,-25.5827653610233,-54.5437626039845,vermelho
578918789,-25.5836212925728,-54.5475173527939,vermelho
578918808,-25.5835939265669,-54.5471585125564,vermelho
578918857,-25.5835755726539,-54.5467999383736,vermelho
578918890,-25.5835569766324,-54.5464513024165,vermelho
578918907,-25.5835357266159,-54.546211986999,vermelho
578919028,-25.5835171291668,-54.5458633510684,vermelho
578919769,-25.5817348749738,-54.5453433427632,vermelho
578919787,-25.5817072618621,-54.5449944461229,vermelho
578919799,-25.5816803711251,-54.5446157352549,vermelho
578919827,-25.5816527562381,-54.5442668387178,vermelho
578919886,-25.5816407562456,-54.5440178547437,vermelho
578920135,-25.5809470344395,-54.5451013098401,vermelho
578920202,-25.580698286464,-54.544944796089,vermelho
578920544,-25.5834814694606,-54.5454744303923,vermelho
578920557,-25.5834631113439,-54.5451158562717,vermelho
578920566,-25.5834447523339,-54.5447572821476,vermelho
578920588,-25.5834173794136,-54.5443984421977,vermelho
578920600,-25.5833992596636,-54.5440299298514,vermelho
578920631,-25.5833701977292,-54.543740657679,vermelho
578952899,-25.5836254547248,-54.5436288401815,vermelho
582814095,-25.50334971128,-54.5036084867916,vermelho
582887976,-25.5838572362208,-54.5755799242216,vermelho
583282853,-25.5784048388637,-54.4839134775947,vermelho
